-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                           MulBackward0         0.97%      21.594ms         6.91%     153.499ms      23.048us       0.000us         0.00%      39.031ms       5.860us          6660  
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      36.871ms         5.79%      36.871ms      15.363us          2400  
    autograd::engine::evaluate_function: SliceBackward0         0.53%      11.779ms         5.18%     114.951ms      46.728us       0.000us         0.00%      35.527ms      14.442us          2460  
                                         SliceBackward0         0.24%       5.383ms         4.10%      90.938ms      36.967us       0.000us         0.00%      33.769ms      13.727us          2460  
                                   aten::slice_backward         0.57%      12.655ms         3.85%      85.555ms      34.779us       0.000us         0.00%      33.769ms      13.727us          2460  
                                            aten::fill_         0.39%       8.722ms         1.50%      33.201ms      10.641us      25.684ms         4.03%      25.684ms       8.232us          3120  
                                            aten::zero_         0.31%       6.880ms         1.79%      39.679ms      12.800us       0.000us         0.00%      25.668ms       8.280us          3100  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      25.418ms         3.99%      25.418ms      40.997us           620  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      20.901ms         3.28%      20.901ms       2.855us          7320  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us      20.446ms         3.21%      20.446ms      17.039us          1200  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      20.100ms         3.16%      20.100ms     335.002us            60  
autograd::engine::evaluate_function: ScaledDotProduc...         0.27%       5.884ms         2.81%      62.342ms     103.903us       0.000us         0.00%      19.744ms      32.906us           600  
            ScaledDotProductEfficientAttentionBackward0         0.15%       3.284ms         2.54%      56.457ms      94.096us       0.000us         0.00%      19.744ms      32.906us           600  
aten::_scaled_dot_product_efficient_attention_backwa...         0.45%       9.927ms         2.40%      53.174ms      88.623us       0.000us         0.00%      19.744ms      32.906us           600  
                    aten::_efficient_attention_backward         0.46%      10.116ms         1.50%      33.314ms      55.523us      18.983ms         2.98%      19.744ms      32.906us           600  
                                            aten::zeros         0.35%       7.727ms         1.95%      43.327ms      17.470us       0.000us         0.00%      19.070ms       7.689us          2480  
_Z52fmha_cutlassB_bf16_aligned_64x64_k64_seqaligned_...         0.00%       0.000us         0.00%       0.000us       0.000us      18.983ms         2.98%      18.983ms      31.639us           600  
_ZN2at6native18elementwise_kernelILi128ELi2EZNS0_22g...         0.00%       0.000us         0.00%       0.000us       0.000us      18.272ms         2.87%      18.272ms       2.510us          7280  
                     aten::scaled_dot_product_attention         0.26%       5.868ms         3.97%      88.024ms      73.353us       0.000us         0.00%      16.732ms      13.944us          1200  
                               aten::cross_entropy_loss         0.00%      90.700us         0.07%       1.588ms      79.400us       0.000us         0.00%      15.725ms     786.230us            20  
_ZN2at6native29vectorized_elementwise_kernelILi4ENS0...         0.00%       0.000us         0.00%       0.000us       0.000us      15.524ms         2.44%      15.524ms     258.738us            60  
                                              aten::sum         1.28%      28.484ms         2.55%      56.583ms      15.545us      14.422ms         2.26%      14.422ms       3.962us          3640  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 2.220s
Self CUDA time total: 637.047ms
